env_package	samp_collect_device	count
	MoBio Power Soil DNA kit was used to extract DNA from soil.	1
	MoBio PowerFood microbial DNA isolation kit	1
	Mock_community_1	1
	Mock_community_2	1
	Mock_community_3	1
	Mock_community_4	1
	Mock_community_5	1
	Mock_community_6	1
	Mock_community_7	1
	Mock_community_8	1
	Mock_community_9	1
	Monoconidial isolate	1
	Microinjector PM 2079 (MDI)	1
	Microinjector PM 2078 (MDI)	1
	Microinjector PM 2077 (MDI)	1
	Microinjector PM 2076 (MDI)	1
	Microinjector PM 2047 (MDI)	1
	Microinjector PM 2048 (MDI)	1
	Microinjector PM 2049 (MDI)	1
	Microinjector PM 2050 (MDI)	1
	Microinjector PM 2051 (MDI)	1
	Microinjector PM 2052 (MDI)	1
	Microinjector PM 2053 (MDI)	1
	Microinjector PM 2054 (MDI)	1
	Microinjector PM 2055 (MDI)	1
	Microinjector PM 2056 (MDI)	1
	Microinjector PM 2057 (MDI)	1
	Microinjector PM 2058 (MDI)	1
	Microinjector PM 2059 (MDI)	1
	Microinjector PM 2060 (MDI)	1
	Microinjector PM 2061 (MDI)	1
	Microinjector PM 2062 (MDI)	1
	Microinjector PM 2063 (MDI)	1
	Microinjector PM 2064 (MDI)	1
	Microinjector PM 2065 (MDI)	1
	Microinjector PM 2066 (MDI)	1
	Microinjector PM 2067 (MDI)	1
	Microinjector PM 2068 (MDI)	1
	Microinjector PM 2069 (MDI)	1
	Microinjector PM 2070 (MDI)	1
	Microinjector PM 2071 (MDI)	1
	Microinjector PM 2072 (MDI)	1
	Microinjector PM 2073 (MDI)	1
	Microinjector PM 2074 (MDI)	1
	Microinjector PM 2075 (MDI)	1
	Multi-crore	1
	Multicore sampler	1
	Multiple sampling plots were randomly selected	1
	Petri dish 12	1
	Petri dish 14	1
	Petri dish 15	1
	Petri dish 16	1
	Petri dish 17	1
	Petri dish 18	1
	Petri dish 19	1
	Petri dish 2	1
	Petri dish 20	1
	Petri dish 21	1
	Petri dish 22	1
	Petri dish 23	1
	Petri dish 24	1
	Petri dish 25	1
	Petri dish 26	1
	Petri dish 27	1
	Petri dish 28	1
	Petri dish 29	1
	Petri dish 3	1
	Petri dish 30	1
	Petri dish 31	1
	10BDB_FW.2	1
	Petri dish 33	1
	Petri dish 34	1
	Petri dish 35	1
	Petri dish 36	1
	Petri dish 4	1
	Petri dish 5	1
	Petri dish 6	1
	Petri dish 7	1
	Petri dish 13	1
	Petri dish 11	1
	0.22um-40m	1
	Petri dish 10	1
	0.22um-20m	1
	Nalgene bottle	1
	Nalgene water bottles	1
	0.22um-10m	1
	Nasopharyngeal swab	1
	Natural gas well-head	1
	Necropsy sample	1
	Netfishing	1
	Niskin Bottle rosette	1
	No	1
	Non-treated control rep1	1
	Non-treated control rep2	1
	Non-treated control rep3	1
	Not collection	1
	Oesophagal tube	1
	Oral swabbing done using sterile nylon swabs	1
	Orogastric method	1
	PCR Negative	1
	PCR and sequencing control (blank)	1
	PCR negative control using PCR-grade water	1
	PCR of 4 pooled DNA extraction controls	1
	PCR of pooled DNA extraction controls	1
	PacBio RS II P6/C4	1
	PacBio RS II and Genome Analyzer IIx sequence platform oti	1
	Paraffin block	1
	Peristaltic water pump	1
	Petersen grab dredge (2L)	1
	Petite Ponar(R) clamshell-style dredge	1
	Petri dish 1	1
	Microinjector PM 2046 (MDI)	1
	Microinjector PM 2045 (MDI)	1
	Microinjector PM 2044 (MDI)	1
	Marine snow catcher_17	1
	Marine snow catcher_19	1
	Marine snow catcher_2	1
	Marine snow catcher_20	1
	Marine snow catcher_21	1
	Marine snow catcher_22	1
	Marine snow catcher_23	1
	Marine snow catcher_24	1
	Marine snow catcher_25	1
	Marine snow catcher_26	1
	Marine snow catcher_27	1
	Marine snow catcher_28	1
	Marine snow catcher_29	1
	Marine snow catcher_3	1
	Marine snow catcher_30	1
	Marine snow catcher_31	1
	Marine snow catcher_32	1
	Marine snow catcher_33	1
	Marine snow catcher_34	1
	Marine snow catcher_35	1
	Marine snow catcher_36	1
	Marine snow catcher_37	1
	Marine snow catcher_38	1
	Marine snow catcher_39	1
	Marine snow catcher_4	1
	Marine snow catcher_40	1
	Marine snow catcher_41	1
	Marine snow catcher_42	1
	Marine snow catcher_43	1
	Marine snow catcher_44	1
	Marine snow catcher_18	1
	Marine snow catcher_16	1
	Marine snow catcher_46	1
	Marine snow catcher_15	1
	M94	1
	M99	1
	MIX1	1
	MIX2	1
	MIX3	1
	MN1	1
	MN10	1
	MN11	1
	MN12	1
	MN14	1
	MN15	1
	MN16	1
	MN2	1
	MN3	1
	MN4	1
	MN5	1
	MN6	1
	MN7	1
	MN8	1
	MOBIO Power Soil and Power Plant	1
	0.2um and 0.1um filters after filtering ~40L aquifer-derived water	1
	Manual collection of shoot-tips	1
	Manually by hand	1
	Marine snow catcher_1	1
	Marine snow catcher_10	1
	Marine snow catcher_11	1
	Marine snow catcher_12	1
	Marine snow catcher_13	1
	Marine snow catcher_14	1
	Marine snow catcher_45	1
	Marine snow catcher_47	1
	Microinjector PM 2043 (MDI)	1
	Microinjector PM 2012 (MDI)	1
	Microinjector PM 2014 (MDI)	1
	Microinjector PM 2015 (MDI)	1
	Microinjector PM 2016 (MDI)	1
	Microinjector PM 2017 (MDI)	1
	Microinjector PM 2018 (MDI)	1
	Microinjector PM 2019 (MDI)	1
	Microinjector PM 2020 (MDI)	1
	Microinjector PM 2021 (MDI)	1
	Microinjector PM 2022 (MDI)	1
	Microinjector PM 2023 (MDI)	1
	Microinjector PM 2024 (MDI)	1
	Microinjector PM 2025 (MDI)	1
	Microinjector PM 2026 (MDI)	1
	Microinjector PM 2027 (MDI)	1
	Microinjector PM 2028 (MDI)	1
	Microinjector PM 2029 (MDI)	1
	Microinjector PM 2030 (MDI)	1
	Microinjector PM 2031 (MDI)	1
	Microinjector PM 2032 (MDI)	1
	Microinjector PM 2033 (MDI)	1
	Microinjector PM 2034 (MDI)	1
	Microinjector PM 2035 (MDI)	1
	Microinjector PM 2036 (MDI)	1
	Microinjector PM 2037 (MDI)	1
	Microinjector PM 2038 (MDI)	1
	Microinjector PM 2039 (MDI)	1
	Microinjector PM 2040 (MDI)	1
	Microinjector PM 2041 (MDI)	1
	Microinjector PM 2042 (MDI)	1
	Microinjector PM 2013 (MDI)	1
	Microinjector PM 2011 (MDI)	1
	Marine snow catcher_48	1
	Microinjector PM 2010 (MDI)	1
	Marine snow catcher_49	1
	Marine snow catcher_5	1
	Marine snow catcher_50	1
	Marine snow catcher_51	1
	Marine snow catcher_52	1
	Marine snow catcher_53	1
	Marine snow catcher_54	1
	Marine snow catcher_6	1
	Marine snow catcher_7	1
	Marine snow catcher_8	1
	Marine snow catcher_9	1
	Mechanical Dredging	1
	Membrane filtration	1
	Metagenomics	1
	0.22um-60m	1
	Microbial growth on glass microscope slides	1
	Microbial mat on a rock retrieved with remotely operated vehicle (ROV Ricketts)	1
	Microcosms	1
	Microfuge tubes	1
	Microinjector PM 2000 (MDI)	1
	Microinjector PM 2001 (MDI)	1
	Microinjector PM 2002 (MDI)	1
	Microinjector PM 2003 (MDI)	1
	Microinjector PM 2004 (MDI)	1
	Microinjector PM 2005 (MDI)	1
	Microinjector PM 2006 (MDI)	1
	Microinjector PM 2007 (MDI)	1
	Microinjector PM 2008 (MDI)	1
	Microinjector PM 2009 (MDI)	1
	Petri dish 8	1
	Physical methods	1
	M8D3control3	1
	0-25 cm bulk soil	1
	Sterile Bags and Petri dishes	1
	Sterile Glove	1
	Sterile Plastic Bottle	1
	Sterile Size #4 cork borer used to obtain vertical core, material 3-5 mm from the surface was excised by sterile razor blade	1
	Sterile anatomy collection	1
	Sterile bags	1
	Sterile bottles	1
	Sterile conditions	1
	Sterile conical tubes with screw caps containing no additive	1
	Sterile containers	1
	Sterile lab plasticware; PMID	1
	Sterile plastic bag and put in ice box	1
	Sterile plastic collector	1
	Sterile small shovel, Sterile sealing bag, ice box etc.	1
	Sterile tubes	1
	Plastic carriers	1
	Sterile tubes of 50 mL	1
	Sterile_Collection_Vial	1
	Sterilised Bottles	1
	Sterilized	1
	Sterilized Spatula	1
	Sterilized cotton swab in phosphate buffered saline	1
	Sterilized hand auger	1
	Sterilized spatula	1
	0-10 cm depth soil sampling	1
	Sterivex 0.22 um filter unit	1
	Sterivex 0.22um Filter Unit	1
	Sterivex 0.22um GP filter unit	1
	Sterivex 0.22um filter unit	1
	Sterivex Millipore 0.22um filter	1
	Sterile	1
	Standard	1
	Stainless steel spoon	1
	Spade	1
	Sampling of gametophytes, placed into sterile bags, cooled, transported to laboratory and processed inmediatly	1
	Scraping of halite nodules	1
	Scraping of wall biofilm	1
	Scrapping	1
	Scuba divers dug the clams out of the sediment with their hands	1
	Sediment Trap	1
	0.2 um filter (diH2O only)	1
	Sediment cores	1
	Shannon traps	1
	Silt samples were collected with a sterile spatula into sterile containers and immediately placed into a refrigerator.	1
	Simple PP-collection vials	1
	Simple random	1
	Site144 DNA extraction from swamp sediment on the south shore of Lake Balikun	1
	Site145 DNA extract of meadow soil sample on the south bank of Balikun Salt Lake	1
	Site146 DNA extract of soil sample on the central dike of Balikun salt lake	1
	Site148_1DNA extract of crystal sediment of Balikun salt lake	1
	Site148_2DNA extract of 0-10cm depth sample of sediment from Balikun salt lake	1
	Site148_3DNA extract of 10-20cm depth sample of sediment from Balikun salt lake	1
	Sludge coolection tool	1
	Snorkelling	1
	Snorkle	1
	Soil DNA Kit	1
	Soil collection, Soil baiting and white traps set ups	1
	Soil core - 5cm deep 2 cm wide	1
	Soil drill	1
	0.2 micron and 3 micron filters	1
	Soil sampling (cores)	1
	Soil spoon	1
	SoyFACE facility for treatment of elevated CO2 condition	1
	0-10 cm deep away fromthe ground surface	1
	-80	1
	Surface collection with sterile lab plasticware	1
	Trap 14	1
	Trap 16	1
	Trap 7	1
	Trap 8	1
	Trap 9	1
	Traps_1	1
	Traps_2	1
	Traps_3	1
	Traps_4	1
	Traps_5	1
	Traps_6	1
	Trizol	1
	Tryptic Soy agar plate, lid off, surface exposed to air	1
	Tube collection	1
	Tube sample	1
	Tubes and bags	1
	Two 1 L octagonal polyethylene terephthalate bottles (VWR International, Radnor, PA, USA)	1
	UWITEC hand corer	1
	UWITEC sediment corer	1
	Unmanned Aerial Vehicle (UAV, or drone)	1
	Used the HM-782D Even Microbial Mock Community B lowconcentration from BEI Resources	1
	Used the HM-783D Staggered Microbial Mock Community B lowconcentration from BEI Resources	1
	V219MGQ-008ortho	1
	V224MGQ-045amber	1
	V225MGQ-001ortho	1
	V226FS090amber	1
	V227FS109para	1
	V229MGQ-006ortho	1
	V229MGQ-040amber	1
	V231MGQ-034amber	1
	Trap 15	1
	Trap 13	1
	Surface gravity core	1
	Trap 12	1
	Surface seawater	1
	Surface soil of the top 5 cm from one sq foot area	1
	Surgery	1
	Swab or Bacon Bomb	1
	Swabbing	1
	Sweep net	1
	Syringe from serum bottles	1
	Syringues	1
	TE-6070VFC	1
	The collected samples were transported in sterile polyethylene bags that were maintained at 4 oC.	1
	The collection of soil samples has be done alongside the national roads of the country on approximately 50 km intervals. Prior to sampling, a digital camera and a GPS have been used for photographs and record of geographical positions, respectively . Vegetation and big particles on the top soil surface were then removed before the sampling of 100 g of soil from each sampling site. Labelled soils were stored in different ziplock bags and put in a cooler box for transportation to the laboratory.	1
	The collection of soil samples has been done using the national roads of the country. Sampling sites was based on approximately 50 km intervals. Sampling campaigns took into account the biome composition in each nation ensuring, where possible, that all biomes or agro-ecological zones are roughly equally represented. At each sampling site four separate samples are recovered. Each sample, approximately 100g from 0 to 5cm surface soil, in a separate labelled bag is a composite of four pseudoreplicate subsamples collected within a 1m2 virtual quadrat	1
	The flowers were taken before harvest was over. Most of the flowers opened the afternoon before and were all visited by insects.	1
	The sample was collected from a rumen-cannulated cow.	1
	The samples were placed in sterilized polyethylene bags containing seawater and immediately transported to the Center of Marine Biologyof São Paulo University (CEBIMar).	1
	The sampling in the mine was carried out after consultation and with assistance of the mine geologists. The pieces of rock samples were taken from the salt mine, immediately put into sterile polyethylene bags, and transported to the laboratory.	1
	The soil is stored in a -80 degree refrigerator	1
	Thermos	1
	Thirteen months after plantation, three jujube tree root systems for each treatment per replicated block were sampled and pooled (a total of 32 root samples). Each composite root sample was wrapped in tissue paper and placed in a plastic bag containing silica gel and stored air-tight at room temperature.	1
	This blank was extracted, PCR amplified and sequenced together with all the samples of bioproject PRJNA515271	1
	This blank was extracted, PCR amplified and sequenced together with all the samples within this project that were collected in the North Atlantic and for the 1yr LDPE incubation samples	1
	This blank was extracted, PCR amplified and sequenced together with all the samples within this project that were collected in the Pacific Ocean and for the 2yr LDPE incubation samples	1
	This blank was extracted, PCR amplified and sequenced together with all the samples within this project that were collected in the northern Adriatic Sea	1
	Tick flag, into 70% ethanol	1
	Ticks were collected from wildlife under veterinarian care in the field and stored in 70% ethanol.	1
	Total Suspended Particles (TSP) sampler	1
	Tracheal aspirate	1
	Trap 10	1
	Trap 11	1
	Sampling device - soil samples were collected with a spade from 0-15 cm depth.	1
	Sampling bottles	1
	Samples were collected using ethanol-rinsed forceps and put directly into Xpedition Lysis Stabilization Solution	1
	Primer_Plate7_A5	1
	Primer_Plate7_A7	1
	Primer_Plate7_A8	1
	Primer_Plate7_A9	1
	Primer_Plate7_B1	1
	Primer_Plate7_B10	1
	Primer_Plate7_B11	1
	Primer_Plate7_B12	1
	Primer_Plate7_B2	1
	Primer_Plate7_B3	1
	Primer_Plate7_B4	1
	Primer_Plate7_B5	1
	Primer_Plate7_B6	1
	Primer_Plate7_B7	1
	Primer_Plate7_B8	1
	Primer_Plate7_B9	1
	Primer_Plate7_C1	1
	Primer_Plate7_C2	1
	Push core, R/V Atlantis, Jason	1
	QIAGEN DNA Stool Mini kit	1
	QIAGEN Genomic-tip 100/G	1
	Qiagan Ultraclean Parasite DNA Isolation Kit	1
	Qiagen DNA extraction kit	1
	Qiagen DNeasy PowerLyzer PowerSoil Kit	1
	Qiagen Lipid Tissue RNeasy Mini Kit, Thermo RiboMinus Kit, NEBNext Ultra II Directional RNA Library Prep Kit, Illumina HiSeq	1
	R1D71	1
	R1D77	1
	R1D84	1
	R1D91	1
	R1D98	1
	Primer_Plate7_A6	1
	Primer_Plate7_A4	1
	R2D77	1
	Primer_Plate7_A3	1
	Plastic sheet	1
	Plastic vessel	1
	Polymethyl methacrylate cylinder container (2.5 L)	1
	Ponar and bucket	1
	Pooled DNA extracts from individually extracted food items added adjacent Shark tank.	1
	Pooled DNA extracts from individually extracted food items added to Rainbow Reef tank.	1
	Pouch	1
	Power Food Microbial DNA isolation kit	1
	Powersoil kit	1
	Pressure filtration	1
	Primer_Plate16_G11	1
	Primer_Plate16_G12	1
	Primer_Plate16_H1	1
	Primer_Plate16_H10	1
	Primer_Plate16_H11	1
	Primer_Plate16_H12	1
	Primer_Plate16_H2	1
	Primer_Plate16_H3	1
	Primer_Plate16_H4	1
	Primer_Plate16_H5	1
	Primer_Plate16_H6	1
	Primer_Plate16_H7	1
	Primer_Plate16_H8	1
	Primer_Plate16_H9	1
	Primer_Plate7_A1	1
	Primer_Plate7_A10	1
	Primer_Plate7_A11	1
	Primer_Plate7_A12	1
	Primer_Plate7_A2	1
	R2D71	1
	R2D84	1
	Samples were collected into sample tubes from pig farm effluents prior to plating	1
	Rovers brush	1
	Rumohr corer	1
	S-1	1
	S-2	1
	S-3	1
	S.C.U.B.A. with plastic tubes	1
	0.2 µm SUPOR filter	1
	SBM-1-Turbot	1
	SBM-2-Turbot	1
	SBM-3-Turbot	1
	SIPRE Core	1
	SIPRE corer frozen	1
	SIPRE coring auger	1
	SMZ1	1
	SMZ2	1
	SMZ3	1
	SS_1=sensitive strain_1	1
	SS_2=sensitive strain_2	1
	SS_3=sensitive strain_3	1
	STANDARD PROCEDURE	1
	SUPR sampler in situ filtration	1
	SWAP	1
	Salimetrics saliva collection tube	1
	Sample collection tubes with stablizing buffers	1
	Sample preparation and collection Naturally fermented meju made by families were collected from Shenyang (Lab), Kaiyuan (KY) and Xinmin (XM) in Liaoning, China.	1
	Sample was collected in airtight sample collecting containers flushed with inert gas to replace the oxygen	1
	Sample was collected with sterile syringe	1
	Samples were collected by filtering water pumped through a 20um prefilter, then size-fractionating by serial filtration through 3um, 0.8um, and 0.1um membrane filters	1
	Samples were collected from a rumen-cannulated cow.	1
	Samples were collected into sample tubes from catheter tips or tracheal aspirates prior to plating	1
	Rumen Cannula	1
	Routine blood sample collection	1
	R3D71	1
	Rosette leaves of four-week-old WT plants were used for RNA preparation. Three biological replicates were performed for each group.	1
	R3D77	1
	R3D84	1
	R3D91	1
	R3D98	1
	RANDOM SAMPLING	1
	RNA isolated for Mice 1 cecal content replicate 1	1
	RNA isolated for Mice 1 cecal content replicate 2	1
	RNA isolated for Mice 1 cecal content replicate 3	1
	RNA isolated for Mice 2 cecal content replicate 1	1
	RNA isolated for Mice 2 cecal content replicate 2	1
	RNA isolated for Mice 2 cecal content replicate 3	1
	RNA isolated for Mice 3 cecal content replicate 1	1
	RNA isolated for Mice 3 cecal content replicate 2	1
	RNA isolated for Mice 3 cecal content replicate 3	1
	RNA isolated for Mice 4 cecal content replicate 1	1
	RNA isolated for Mice 4 cecal content replicate 2	1
	RNA isolated for Mice 4 cecal content replicate 3	1
	RNALAter	1
	ROV Jason	1
	RR_1=resistant strain_1	1
	RR_2=resistant strain_2	1
	RR_3=resistant strain_3	1
	Random sampling at the entry ports	1
	Random sampling from the outlet	1
	Reference strains from Second Genome	1
	Remote Operated Vehicle	1
	Rinsed spoon or custom-made pipe system	1
	Rosette leaves of four-week-old CsMYB30 plants were used for RNA preparation. Three biological replicates were performed for each group.	1
	Rosette leaves of four-week-old CsMYB96 plants were used for RNA preparation. Three biological replicates were performed for each group.	1
	M8insitu	1
	M8D3control2	1
	A92	1
	CTD rosette, GoPro	1
	CTD rosette(Seabird 957, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 958, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 959, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 960, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 961, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 962, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 963, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 964, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 965, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 966, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 967, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 968, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 969, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 970, SeaBird Electronics, USA)	1
	CTD-Rosette	1
	Collected from School 5	1
	C_fermenter_3	1
	C_fermenter_4	1
	Caltech Active Strand Cloudwater Collector Version 2	1
	Carousel Water Sampler SBE-32	1
	Cast Net	1
	Cathode biofilm	1
	Cells retained on 0.2 um filter was used for RNA extraction1	1
	Cells retained on 0.2 um filter was used for RNA extraction10	1
	Cells retained on 0.2 um filter was used for RNA extraction11	1
	Cells retained on 0.2 um filter was used for RNA extraction12	1
	Cells retained on 0.2 um filter was used for RNA extraction13	1
	Cells retained on 0.2 um filter was used for RNA extraction14	1
	Cells retained on 0.2 um filter was used for RNA extraction15	1
	Cells retained on 0.2 um filter was used for RNA extraction16	1
	CTD rosette(Seabird 956, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 955, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 954, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 953, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 924, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 925, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 926, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 927, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 928, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 929, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 930, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 931, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 932, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 933, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 934, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 935, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 936, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 937, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 938, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 939, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 940, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 941, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 942, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 943, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 944, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 945, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 946, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 947, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 948, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 949, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 950, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 951, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 952, SeaBird Electronics, USA)	1
	Cells retained on 0.2 um filter was used for RNA extraction17	1
	Cells retained on 0.2 um filter was used for RNA extraction18	1
	Cells retained on 0.2 um filter was used for RNA extraction19	1
	Cells retained on 0.2 um filter was used for RNA extraction49	1
	Cells retained on 0.2 um filter was used for RNA extraction50	1
	Cells retained on 0.2 um filter was used for RNA extraction51	1
	Cells retained on 0.2 um filter was used for RNA extraction52	1
	Cells retained on 0.2 um filter was used for RNA extraction53	1
	Cells retained on 0.2 um filter was used for RNA extraction54	1
	Cells retained on 0.2 um filter was used for RNA extraction6	1
	Cells retained on 0.2 um filter was used for RNA extraction7	1
	Cells retained on 0.2 um filter was used for RNA extraction8	1
	Cells retained on 0.2 um filter was used for RNA extraction9	1
	Chelex DNA extraction followed by 16s amplification and Illumina MiSeq sequencing	1
	Chelex DNA extraction followed by 16s ampplification and Illumina MiSeq sequencing	1
	Chemostat	1
	Clean catch method	1
	Clean sediment scoop	1
	Collect root soil with a sterile brush	1
	Collect samples directly	1
	Collect stool	1
	Collected Blue ciliate mat sample	1
	Collected by hand, snorkeling in ~2 m of water.	1
	Collected from Grocery 2	1
	Collected from Grocery 3	1
	Collected from Grocery 4	1
	Collected from Grocery 6	1
	Collected from Grocery 7	1
	Collected from Hospital 3	1
	Collected from Hospital 4	1
	Collected from Residential 3	1
	Collected from Residential 4	1
	Collected from Retirement 5	1
	Cells retained on 0.2 um filter was used for RNA extraction5	1
	Cells retained on 0.2 um filter was used for RNA extraction48	1
	Cells retained on 0.2 um filter was used for RNA extraction2	1
	Cells retained on 0.2 um filter was used for RNA extraction47	1
	Cells retained on 0.2 um filter was used for RNA extraction20	1
	Cells retained on 0.2 um filter was used for RNA extraction21	1
	Cells retained on 0.2 um filter was used for RNA extraction22	1
	Cells retained on 0.2 um filter was used for RNA extraction23	1
	Cells retained on 0.2 um filter was used for RNA extraction24	1
	Cells retained on 0.2 um filter was used for RNA extraction25	1
	Cells retained on 0.2 um filter was used for RNA extraction26	1
	Cells retained on 0.2 um filter was used for RNA extraction27	1
	Cells retained on 0.2 um filter was used for RNA extraction28	1
	Cells retained on 0.2 um filter was used for RNA extraction29	1
	Cells retained on 0.2 um filter was used for RNA extraction3	1
	Cells retained on 0.2 um filter was used for RNA extraction30	1
	Cells retained on 0.2 um filter was used for RNA extraction31	1
	Cells retained on 0.2 um filter was used for RNA extraction32	1
	Cells retained on 0.2 um filter was used for RNA extraction33	1
	Cells retained on 0.2 um filter was used for RNA extraction34	1
	Cells retained on 0.2 um filter was used for RNA extraction35	1
	Cells retained on 0.2 um filter was used for RNA extraction36	1
	Cells retained on 0.2 um filter was used for RNA extraction37	1
	Cells retained on 0.2 um filter was used for RNA extraction38	1
	Cells retained on 0.2 um filter was used for RNA extraction39	1
	Cells retained on 0.2 um filter was used for RNA extraction4	1
	Cells retained on 0.2 um filter was used for RNA extraction40	1
	Cells retained on 0.2 um filter was used for RNA extraction41	1
	Cells retained on 0.2 um filter was used for RNA extraction42	1
	Cells retained on 0.2 um filter was used for RNA extraction43	1
	Cells retained on 0.2 um filter was used for RNA extraction44	1
	Cells retained on 0.2 um filter was used for RNA extraction45	1
	Cells retained on 0.2 um filter was used for RNA extraction46	1
	CTD rosette(Seabird 923, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 922, SeaBird Electronics, USA)	1
	CTD rosette(Seabird 921, SeaBird Electronics, USA)	1
	Aseptic tissue dissection	1
	Augar	1
	AxyPrep bacterial DNA isoaltion kit	1
	BACTRAP samples	1
	BL culture1	1
	BL culture2	1
	BL culture3	1
	BL culture4	1
	BL recipient1	1
	BL recipient2	1
	BL recipient3	1
	BL recipient4	1
	B_fermenter_3	1
	B_fermenter_4	1
	Bags	1
	Basal Salt Medium supplemented with 0.5 mM 4-tert-butylphenol	1
	Batch reactors	1
	Bathometer (5 liter)	1
	Before dissection, adult insects were sterilized with 100% ethanol for 3 min and rinsed three times with sterile deionized water.	1
	Bentos corer	1
	Berlese funnels	1
	Bigelow Laboratory seawater mesocosm system	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001300) connected to an air pump	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001301) connected to an air pump	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001302) connected to an air pump	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001303) connected to an air pump	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001304) connected to an air pump	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001305) connected to an air pump	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001306) connected to an air pump	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001307) connected to an air pump	1
	Aseptical in sterile tubes	1
	Aseptic perrectal manual grab from rectum	1
	Bioaerosol samplers using sterilized polycarbonate filters (0.2 ?m pore size; Whatman, 111106) with a sterilized filter holder (Swinnex, 13 mm, Millipore, SX0001309) connected to an air pump	1
	Aseptic dissection of proximal GI tract and microbial DNA isolation	1
	A93	1
	A94	1
	A95	1
	A96	1
	A97	1
	A98	1
	A99	1
	Acclimated by selective medium	1
	10 x 10 cm box-corer	1
	Adapted harvard sampler with policarbonate filter 0.8um	1
	Aeration basin, then bench flasks	1
	Aerosol	1
	After transportation to the laboratory, the soil samples were sieved (2mm)	1
	Air sample on the top of building, Noto Gakusya.	1
	Air sampler attached a Balloon	1
	Air sampler attached an aircraft	1
	Air tight zip lock container with dry ice	1
	Airtight glass bottle fleshed with inert gas to replace oxygen	1
	All cores were collected by use of an aluminum pole corer with a 7 cm in diameter acrylic core.	1
	Anaerobic chamber	1
